RNA5SP422	0
RNA5SP423	0
RNA5SP425	0
RNA5SP426	0
RNA5SP427	0
RNA5SP428	0
RNA5SP429	0
RNA5SP43	0
RNA5SP430	0
RNA5SP431	0
RNA5SP432	0
RNA5SP433	0
RNA5SP434	0
RNA5SP435	1
RNA5SP436	0
RNA5SP437	0
RNA5SP438	0
RNA5SP439	0
RNA5SP44	0
RNA5SP440	0
RNA5SP441	0
RNA5SP442	0
RNA5SP443	0
RNA5SP444	0
RNA5SP445	0
RNA5SP446	0
RNA5SP447	0
RNA5SP448	0
RNA5SP449	0
RNA5SP45	0
RNA5SP450	1
RNA5SP451	0
RNA5SP452	0
RNA5SP453	0
RNA5SP454	0
RNA5SP455	0
RNA5SP456	0
RNA5SP457	0
RNA5SP458	0
RNA5SP459	0
RNA5SP46	0
RNA5SP460	0
RNA5SP461	0
RNA5SP462	0
RNA5SP463	0
RNA5SP464	0
RNA5SP465	0
RNA5SP466	0
RNA5SP467	0
RNA5SP468	0
RNA5SP469	0
RNA5SP47	0
RNA5SP470	0
RNA5SP471	0
RNA5SP472	0
RNA5SP473	0
RNA5SP474	0
RNA5SP475	0
RNA5SP476	0
RNA5SP477	0
RNA5SP478	0
RNA5SP479	3
RNA5SP48	0
RNA5SP480	0
RNA5SP481	0
RNA5SP482	0
RNA5SP483	0
RNA5SP484	0
RNA5SP485	0
RNA5SP486	0
RNA5SP487	0
RNA5SP488	0
RNA5SP489	0
RNA5SP49	0
RNA5SP490	0
RNA5SP491	0
RNA5SP492	0
RNA5SP493	0
RNA5SP494	0
RNA5SP495	0
RNA5SP496	0
RNA5SP497	0
RNA5SP498	0
RNA5SP499	0
RNA5SP50	0
RNA5SP500	0
RNA5SP501	0
RNA5SP502	0
RNA5SP503	0
RNA5SP504	0
RNA5SP505	0
RNA5SP506	0
RNA5SP507	0
RNA5SP508	0
RNA5SP509	0
RNA5SP51	0
RNA5SP510	0
RNA5SP511	0
RNA5SP512	0
RNA5SP513	0
RNA5SP514	0
RNA5SP515	0
RNA5SP516	0
RNA5SP517	0
RNA5SP518	0
RNA5SP519	0
RNA5SP52	0
RNA5SP520	0
RNA5SP521	0
RNA5SP522	0
RNA5SP523	0
RNA5SP524	0
RNA5SP525	0
RNA5SP526	0
RNA5SP527	0
RNA5SP528	0
RNA5SP529	0
RNA5SP53	0
RNA5SP530	0
RNA5SP531	1
RNA5SP532	0
RNA5SP533	0
RNA5SP534	0
RNA5SP535	0
RNA5SP536	0
RNA5SP54	0
RNA5SP55	0
RNA5SP56	0
RNA5SP57	0
RNA5SP59	0
RNA5SP60	0
RNA5SP61	0
RNA5SP62	0
RNA5SP63	0
RNA5SP64	0
RNA5SP65	0
RNA5SP66	0
RNA5SP67	0
RNA5SP68	0
RNA5SP69	0
RNA5SP70	0
RNA5SP71	0
RNA5SP72	0
RNA5SP73	0
RNA5SP74	0
RNA5SP75	0
RNA5SP76	0
RNA5SP77	0
RNA5SP78	0
RNA5SP79	0
RNA5SP80	0
RNA5SP82	4
RNA5SP84	0
RNA5SP85	0
RNA5SP86	0
RNA5SP87	0
RNA5SP88	0
RNA5SP89	0
RNA5SP90	0
RNA5SP91	0
RNA5SP92	0
RNA5SP93	0
RNA5SP94	0
RNA5SP95	0
RNA5SP96	0
RNA5SP97	0
RNA5SP98	0
RNA5SP99	0
RNASE1	0
RNASE10	0
RNASE11	0
RNASE12	0
RNASE13	0
RNASE2	0
RNASE3	0
RNASE4	1
RNASE6	0
RNASE7	193
RNASE8	0
RNASE9	0
RNASEH1	1084
RNASEH1-AS1	288
RNASEH1P1	3
RNASEH1P2	1
RNASEH2A	24
RNASEH2B	1304
RNASEH2B-AS1	6
RNASEH2C	964
RNASEH2CP1	0
RNASEK	7
RNASEK-C17orf49	0
RNASEL	547
RNASET2	68
RND1	18
RND2	16
RND3	1388
RNF10	4896
RNF103	607
RNF103-CHMP3	1
RNF10P1	0
RNF11	3263
RNF111	1214
RNF112	1
RNF113A	299
RNF113B	0
RNF114	2348
RNF115	1138
RNF11P2	0
RNF121	527
RNF122	41
RNF123	694
RNF125	141
RNF126	1113
RNF126P1	0
RNF128	50
RNF13	1408
RNF130	1919
RNF133	0
RNF135	315
RNF138	826
RNF138P1	3
RNF138P2	0
RNF139	1102
RNF139-AS1	44
RNF14	2234
RNF141	1677
RNF144A	0
RNF144A-AS1	0
RNF144B	939
RNF145	5039
RNF146	877
RNF148	0
RNF149	1502
RNF150	39
RNF151	0
RNF152	283
RNF152P1	0
RNF157	16
RNF157-AS1	0
RNF165	11
RNF166	211
RNF167	2219
RNF168	1974
RNF169	1662
RNF17	2
RNF170	666
RNF175	0
RNF180	2
RNF181	1167
RNF182	1
RNF183	0
RNF185	1485
RNF185-AS1	0
RNF186	0
RNF187	3274
RNF19A	1538
RNF19B	708
RNF19BPX	0
RNF19BPY	0
RNF2	1608
RNF20	2473
RNF207	34
RNF208	3
RNF212	0
RNF212B	1
RNF213	2953
RNF213-AS1	10
RNF214	723
RNF215	224
RNF216	1076
RNF216-IT1	0
RNF216P1	221
RNF217	1872
RNF217-AS1	23
RNF220	1920
RNF222	1
RNF223	0
RNF224	0
RNF225	0
RNF227	246
RNF24	591
RNF25	610
RNF26	1928
RNF2P1	1
RNF31	9
RNF32	34
RNF34	1081
RNF38	631
RNF39	23
RNF4	2113
RNF40	2677
RNF41	1386
RNF43	150
RNF44	1523
RNF5	575
RNF5P1	5
RNF6	2761
RNF6P1	0
RNF7	818
RNF7P1	2
RNF8	865
RNFT1	468
RNFT1-DT	0
RNFT1P2	0
RNFT1P3	3
RNFT2	51
RNGTT	1579
RNGTTP1	0
RNH1	2662
RNLS	0
RNMT	1865
RNMTL1P1	0
RNMTL1P2	0
RNPC3	423
RNPEP	3329
RNPEPL1	532
RNPS1	3843
RNPS1P1	29
RNU1-1	0
RNU1-100P	1
RNU1-101P	0
RNU1-103P	1
RNU1-104P	0
RNU1-105P	0
RNU1-106P	0
RNU1-107P	0
RNU1-108P	0
RNU1-109P	0
RNU1-112P	0
RNU1-114P	0
RNU1-115P	0
RNU1-117P	0
RNU1-119P	0
RNU1-11P	0
RNU1-123P	0
RNU1-124P	2
RNU1-125P	0
RNU1-128P	0
RNU1-129P	0
RNU1-130P	0
RNU1-131P	0
RNU1-132P	0
RNU1-133P	0
RNU1-134P	3
RNU1-136P	0
RNU1-138P	0
RNU1-139P	0
RNU1-140P	0
RNU1-141P	0
RNU1-142P	0
RNU1-143P	0
RNU1-146P	0
RNU1-148P	0
RNU1-149P	0
RNU1-14P	0
RNU1-150P	0
RNU1-151P	0
RNU1-153P	0
RNU1-154P	0
RNU1-155P	0
RNU1-15P	0
RNU1-16P	3
RNU1-17P	0
RNU1-18P	0
RNU1-19P	0
RNU1-2	5
RNU1-20P	0
RNU1-21P	0
RNU1-22P	0
RNU1-23P	0
RNU1-24P	0
RNU1-27P	0
RNU1-28P	0
RNU1-29P	0
RNU1-3	0
RNU1-30P	0
RNU1-31P	0
RNU1-32P	0
RNU1-33P	0
RNU1-34P	0
RNU1-35P	0
RNU1-36P	0
RNU1-38P	0
RNU1-39P	0
RNU1-4	0
RNU1-40P	0
RNU1-41P	0
RNU1-42P	0
RNU1-43P	0
RNU1-44P	0
RNU1-45P	0
RNU1-46P	0
RNU1-47P	0
RNU1-48P	0
RNU1-49P	0
RNU1-51P	0
RNU1-52P	0
RNU1-54P	0
RNU1-55P	0
RNU1-56P	0
RNU1-57P	0
RNU1-58P	0
RNU1-5P	0
RNU1-61P	0
RNU1-62P	0
RNU1-63P	0
RNU1-64P	0
RNU1-65P	0
RNU1-67P	1
RNU1-68P	0
RNU1-6P	0
RNU1-70P	0
RNU1-72P	2
RNU1-73P	0
RNU1-74P	0
RNU1-75P	0
RNU1-76P	0
RNU1-77P	0
RNU1-78P	0
RNU1-7P	0
RNU1-80P	0
RNU1-82P	0
RNU1-83P	0
RNU1-84P	0
RNU1-85P	0
RNU1-86P	0
RNU1-87P	0
RNU1-88P	0
RNU1-89P	0
RNU1-8P	0
RNU1-91P	0
RNU1-93P	0
RNU1-94P	0
RNU1-95P	0
RNU1-96P	0
RNU1-97P	0
RNU1-98P	0
RNU105B	0
RNU105C	0
RNU11	0
RNU11-2P	0
RNU11-3P	0
RNU11-4P	0
RNU11-5P	0
RNU11-6P	0
RNU12	0
RNU12-2P	0
RNU2-1	0
RNU2-10P	0
RNU2-11P	0
RNU2-12P	0
RNU2-13P	0
RNU2-14P	0
RNU2-15P	0
RNU2-16P	0
RNU2-17P	0
RNU2-18P	0
RNU2-19P	0
RNU2-20P	0
RNU2-21P	0
RNU2-22P	4
RNU2-23P	0
RNU2-24P	0
RNU2-25P	0
RNU2-26P	0
RNU2-27P	0
RNU2-28P	0
RNU2-29P	0
RNU2-2P	0
RNU2-30P	0
RNU2-31P	0
RNU2-32P	0
RNU2-33P	1
RNU2-34P	0
RNU2-35P	0
RNU2-36P	0
RNU2-37P	0
RNU2-38P	0
RNU2-39P	0
RNU2-3P	0
RNU2-40P	0
RNU2-41P	0
RNU2-42P	0
RNU2-43P	0
RNU2-44P	0
RNU2-45P	0
RNU2-46P	0
RNU2-47P	0
RNU2-48P	0
RNU2-49P	0
RNU2-4P	0
RNU2-50P	0
RNU2-51P	0
RNU2-52P	0
RNU2-53P	0
RNU2-54P	0
RNU2-55P	0
RNU2-56P	0
RNU2-57P	0
RNU2-58P	1
RNU2-59P	0
RNU2-5P	0
RNU2-60P	0
RNU2-61P	0
RNU2-62P	1
RNU2-63P	1
RNU2-64P	0
RNU2-65P	0
RNU2-66P	0
RNU2-68P	1
RNU2-69P	0
RNU2-6P	0
RNU2-70P	0
RNU2-71P	0
RNU2-72P	0
RNU2-7P	1
RNU2-8P	0
RNU2-9P	0
RNU4-1	0
RNU4-10P	0
RNU4-11P	0
RNU4-12P	0
RNU4-13P	0
RNU4-14P	0
RNU4-15P	0
RNU4-16P	0
RNU4-17P	0
RNU4-18P	0
RNU4-2	0
RNU4-20P	0
RNU4-21P	0
RNU4-22P	0
RNU4-23P	3
RNU4-24P	0
RNU4-25P	0
RNU4-26P	0
RNU4-27P	0
RNU4-28P	0
RNU4-29P	1
RNU4-30P	0
RNU4-31P	0
RNU4-32P	0
RNU4-33P	0
RNU4-34P	0
RNU4-35P	0
RNU4-36P	2
RNU4-37P	0
RNU4-38P	0
RNU4-39P	4
RNU4-40P	0
RNU4-41P	0
RNU4-42P	0
RNU4-43P	0
RNU4-44P	0
RNU4-45P	0
RNU4-46P	0
RNU4-47P	0
RNU4-48P	0
RNU4-49P	0
RNU4-4P	0
RNU4-50P	0
RNU4-51P	0
RNU4-52P	0
RNU4-53P	0
RNU4-54P	0
RNU4-55P	0
RNU4-56P	0
RNU4-57P	0
RNU4-58P	0
RNU4-59P	0
RNU4-5P	2
RNU4-60P	0
RNU4-61P	0
RNU4-62P	0
RNU4-63P	0
RNU4-64P	0
RNU4-65P	0
RNU4-66P	0
RNU4-67P	0
RNU4-68P	0
RNU4-69P	0
RNU4-6P	0
RNU4-70P	0
RNU4-71P	0
RNU4-72P	0
RNU4-73P	0
RNU4-74P	0
RNU4-75P	0
RNU4-76P	0
RNU4-77P	0
RNU4-78P	5
RNU4-79P	0
RNU4-7P	0
RNU4-80P	1
RNU4-81P	0
RNU4-82P	1
RNU4-83P	0
RNU4-84P	0
RNU4-85P	0
RNU4-86P	0
RNU4-87P	0
RNU4-88P	0
RNU4-89P	0
RNU4-8P	0
RNU4-90P	0
RNU4-91P	0
RNU4-92P	0
RNU4-9P	0
RNU4ATAC	3
RNU4ATAC10P	0
RNU4ATAC11P	0
RNU4ATAC12P	0
RNU4ATAC13P	0
RNU4ATAC14P	0
RNU4ATAC15P	0
RNU4ATAC16P	0
RNU4ATAC17P	0
RNU4ATAC18P	2
RNU4ATAC2P	0
RNU4ATAC3P	0
RNU4ATAC4P	0
RNU4ATAC5P	0
RNU4ATAC6P	0
RNU4ATAC7P	0
RNU4ATAC8P	0
RNU4ATAC9P	0
RNU5A-1	3
RNU5A-2P	0
RNU5A-3P	0
RNU5A-4P	0
RNU5A-5P	0
RNU5A-6P	0
RNU5A-7P	0
RNU5A-8P	1
RNU5B-1	0
RNU5B-2P	0
RNU5B-3P	0
RNU5B-4P	0
RNU5B-6P	0
RNU5D-1	2
RNU5D-2P	0
RNU5E-1	0
RNU5E-10P	4
RNU5E-3P	0
RNU5E-4P	0
RNU5E-5P	0
RNU5E-6P	0
RNU5E-7P	0
RNU5E-8P	0
RNU5E-9P	0
RNU5F-1	0
RNU5F-2P	0
RNU5F-3P	0
RNU5F-4P	0
RNU5F-6P	0
RNU5F-7P	0
RNU5F-8P	0
RNU6-1	0
RNU6-1000P	0
RNU6-1001P	0
RNU6-1003P	1
RNU6-1004P	0
RNU6-1005P	1
RNU6-1006P	0
RNU6-1007P	0
RNU6-1008P	0
RNU6-1009P	0
RNU6-100P	1
RNU6-1010P	0
RNU6-1011P	0
RNU6-1012P	0
RNU6-1013P	0
RNU6-1014P	0
RNU6-1015P	0
RNU6-1016P	3
RNU6-1017P	0
RNU6-1018P	0
RNU6-1019P	0
RNU6-101P	0
RNU6-1020P	0
RNU6-1021P	0
RNU6-1022P	0
RNU6-1023P	0
RNU6-1024P	0
RNU6-1025P	0
RNU6-1026P	0
RNU6-1027P	0
RNU6-1028P	0
RNU6-1029P	1
RNU6-102P	0
RNU6-1031P	0
RNU6-1032P	0
RNU6-1034P	0
RNU6-1035P	0
RNU6-1036P	0
RNU6-1037P	0
RNU6-1038P	0
RNU6-1039P	0
RNU6-103P	0
RNU6-1040P	0
RNU6-1041P	0
RNU6-1042P	0
RNU6-1043P	0
RNU6-1044P	0
RNU6-1045P	0
RNU6-1046P	0
RNU6-1047P	0
RNU6-1048P	0
RNU6-1049P	0
RNU6-104P	0
RNU6-1050P	0
RNU6-1051P	0
RNU6-1052P	0
RNU6-1053P	3
RNU6-1054P	0
RNU6-1055P	0
RNU6-1056P	0
RNU6-1057P	1
RNU6-1059P	0
RNU6-105P	0
RNU6-1060P	0
RNU6-1061P	0
RNU6-1062P	3
RNU6-1064P	0
RNU6-1065P	0
RNU6-1066P	0
RNU6-1067P	0
RNU6-1068P	0
RNU6-1069P	0
RNU6-106P	0
RNU6-1071P	0
RNU6-1072P	0
RNU6-1073P	0
RNU6-1074P	0
RNU6-1075P	0
RNU6-1076P	0
RNU6-1077P	0
RNU6-1078P	0
RNU6-1079P	0
RNU6-107P	0
RNU6-1080P	0
RNU6-1081P	0
RNU6-1082P	0
RNU6-1083P	0
RNU6-1084P	0
RNU6-1085P	0
RNU6-1086P	0
RNU6-1087P	0
RNU6-1088P	0
RNU6-1089P	0
RNU6-108P	0
RNU6-1090P	0
RNU6-1091P	0
RNU6-1092P	0
RNU6-1093P	0
RNU6-1094P	0
RNU6-1095P	0
RNU6-1096P	0
RNU6-1097P	0
RNU6-1098P	0
RNU6-1099P	3
RNU6-109P	0
RNU6-10P	1
RNU6-1100P	0
RNU6-1101P	0
RNU6-1102P	0
RNU6-1103P	0
RNU6-1104P	0
RNU6-1105P	0
RNU6-1106P	0
RNU6-1107P	0
RNU6-1108P	0
RNU6-1109P	0
RNU6-110P	0
RNU6-1110P	0
RNU6-1111P	0
RNU6-1112P	0
RNU6-1113P	0
RNU6-1114P	0
RNU6-1115P	0
RNU6-1116P	0
RNU6-1117P	0
RNU6-1118P	0
RNU6-1119P	0
RNU6-111P	0
RNU6-1120P	0
RNU6-1121P	0
RNU6-1122P	0
RNU6-1123P	0
RNU6-1124P	0
RNU6-1125P	0
RNU6-1126P	0
RNU6-1127P	0
RNU6-1128P	0
RNU6-1129P	0
RNU6-112P	0
RNU6-1130P	0
RNU6-1131P	0
RNU6-1132P	0
RNU6-1133P	0
RNU6-1134P	0
RNU6-1135P	0
RNU6-1136P	1
RNU6-1137P	0
RNU6-1138P	0
RNU6-113P	0
RNU6-1140P	0
RNU6-1141P	0
RNU6-1143P	1
RNU6-1144P	0
RNU6-1145P	0
RNU6-1146P	0
RNU6-1147P	1
RNU6-1148P	0
RNU6-1149P	0
RNU6-114P	0
RNU6-1150P	0
RNU6-1151P	0
RNU6-1152P	0
RNU6-1153P	0
RNU6-1154P	0
RNU6-1155P	0
RNU6-1156P	0
RNU6-1157P	2
RNU6-1158P	0
RNU6-1159P	0
RNU6-115P	0
RNU6-1160P	1
RNU6-1161P	0
RNU6-1162P	0
RNU6-1163P	0
RNU6-1164P	0
RNU6-1165P	0
RNU6-1167P	0
RNU6-1168P	0
RNU6-1169P	0
RNU6-116P	0
RNU6-1170P	0
RNU6-1171P	0
RNU6-1172P	0
RNU6-1174P	0
RNU6-1175P	0
RNU6-1176P	0
RNU6-1177P	0
RNU6-1178P	0
RNU6-1179P	0
RNU6-117P	0
RNU6-1180P	0
RNU6-1181P	0
RNU6-1183P	0
RNU6-1184P	0
RNU6-1186P	0
RNU6-1187P	0
RNU6-1188P	0
RNU6-1189P	0
RNU6-118P	2
RNU6-1190P	0
RNU6-1191P	0
RNU6-1192P	0
RNU6-1193P	0
RNU6-1194P	0
RNU6-1195P	0
RNU6-1196P	0
RNU6-1197P	0
RNU6-1198P	0
RNU6-1199P	0
RNU6-119P	0
RNU6-11P	0
RNU6-1200P	0
RNU6-1201P	0
RNU6-1203P	0
RNU6-1204P	0
RNU6-1205P	0
RNU6-1206P	0
RNU6-1207P	0
RNU6-1208P	0
RNU6-1209P	1
RNU6-120P	0
RNU6-1210P	0
RNU6-1211P	0
RNU6-1212P	0
RNU6-1213P	0
RNU6-1214P	0
RNU6-1215P	0
RNU6-1216P	0
RNU6-1217P	0
RNU6-1218P	0
RNU6-1219P	0
RNU6-121P	0
RNU6-1220P	0
RNU6-1222P	0
RNU6-1223P	1
RNU6-1224P	0
RNU6-1225P	0
RNU6-1226P	0
RNU6-1227P	0
RNU6-1228P	0
RNU6-1229P	0
RNU6-122P	2
RNU6-1230P	0
RNU6-1231P	0
RNU6-1232P	0
RNU6-1233P	0
RNU6-1234P	0
RNU6-1235P	0
RNU6-1236P	0
RNU6-1237P	0
RNU6-1238P	0
RNU6-1239P	0
RNU6-123P	1
RNU6-1240P	0
RNU6-1241P	0
RNU6-1242P	0
RNU6-1243P	0
RNU6-1244P	0
RNU6-1245P	0
RNU6-1246P	0
RNU6-1247P	0
RNU6-1248P	0
RNU6-1249P	0
RNU6-1250P	0
RNU6-1251P	1
RNU6-1252P	0
RNU6-1254P	0
RNU6-1255P	0
RNU6-1256P	0
RNU6-1257P	0
RNU6-1258P	0
RNU6-125P	2
RNU6-1260P	0
RNU6-1261P	0
RNU6-1262P	0
RNU6-1263P	0
RNU6-1264P	0
RNU6-1265P	0
RNU6-1266P	0
RNU6-1267P	0
RNU6-1268P	0
RNU6-1269P	0
RNU6-126P	0
RNU6-1270P	0
RNU6-1271P	0
RNU6-1272P	0
RNU6-1273P	0
RNU6-1274P	0
RNU6-1275P	0
RNU6-1276P	0
RNU6-1277P	0
RNU6-1278P	0
RNU6-1279P	0
RNU6-127P	0
RNU6-1280P	0
RNU6-1281P	0
RNU6-1282P	0
RNU6-1283P	0
RNU6-1284P	0
RNU6-1285P	1
RNU6-1286P	0
RNU6-1287P	0
RNU6-1288P	0
RNU6-1289P	0
RNU6-128P	0
RNU6-1290P	0
RNU6-1291P	0
RNU6-1292P	0
RNU6-1293P	0
RNU6-1294P	0
RNU6-1296P	0
RNU6-1297P	0
RNU6-1298P	0
RNU6-1299P	0
RNU6-129P	0
RNU6-12P	0
RNU6-1300P	0
RNU6-1301P	0
RNU6-1303P	0
RNU6-1304P	0
RNU6-1305P	0
RNU6-1306P	0
RNU6-1307P	0
RNU6-1308P	0
RNU6-1309P	1
RNU6-130P	1
RNU6-1310P	0
RNU6-1311P	0
RNU6-1312P	0
RNU6-1313P	0
RNU6-1314P	0
RNU6-1315P	0
RNU6-1316P	0
RNU6-1317P	0
RNU6-1318P	0
RNU6-1319P	0
RNU6-131P	0
RNU6-1320P	0
RNU6-1321P	0
RNU6-1322P	0
RNU6-1323P	0
RNU6-1324P	0
RNU6-1325P	0
RNU6-1326P	0
RNU6-1327P	2
RNU6-1328P	0
RNU6-1329P	0
RNU6-132P	0
RNU6-1330P	0
RNU6-1331P	0
RNU6-1332P	0
RNU6-1333P	0
RNU6-1334P	0
RNU6-1335P	0
RNU6-1336P	0
RNU6-1337P	0
RNU6-1338P	0
RNU6-1339P	0
RNU6-133P	0
RNU6-1340P	0
RNU6-135P	0
RNU6-136P	0
RNU6-137P	0
RNU6-138P	0
RNU6-139P	0
RNU6-13P	0
RNU6-140P	0
RNU6-141P	0
RNU6-142P	0
RNU6-143P	0
RNU6-144P	0
RNU6-145P	0
RNU6-146P	0
RNU6-147P	0
RNU6-148P	0
RNU6-14P	0
RNU6-150P	0
RNU6-151P	0
RNU6-152P	0
RNU6-153P	0
RNU6-154P	0
RNU6-155P	0
RNU6-156P	0
RNU6-157P	0
RNU6-158P	0
RNU6-159P	0
RNU6-15P	0
RNU6-160P	0
RNU6-161P	0
RNU6-162P	0
RNU6-163P	0
RNU6-164P	0
RNU6-165P	0
RNU6-166P	0
RNU6-167P	0
RNU6-168P	0
RNU6-169P	0
RNU6-16P	0
RNU6-170P	0
RNU6-171P	0
RNU6-172P	0
RNU6-173P	0
RNU6-174P	0
RNU6-175P	0
RNU6-176P	0
RNU6-177P	0
RNU6-178P	0
RNU6-179P	0
RNU6-17P	0
RNU6-180P	0
RNU6-181P	0
RNU6-182P	1
RNU6-183P	0
RNU6-184P	0
RNU6-185P	0
RNU6-187P	0
RNU6-188P	1
RNU6-189P	0
RNU6-18P	0
RNU6-190P	0
RNU6-191P	0
RNU6-192P	0
RNU6-193P	0
RNU6-194P	0
RNU6-195P	1
RNU6-196P	0
RNU6-197P	0
RNU6-198P	0
RNU6-199P	0
RNU6-19P	0
RNU6-2	1
RNU6-200P	0
RNU6-201P	0
RNU6-202P	1
RNU6-203P	0
RNU6-204P	0
RNU6-205P	0
RNU6-206P	0
RNU6-207P	0
RNU6-208P	0
RNU6-209P	0
RNU6-20P	0
RNU6-210P	0
RNU6-211P	0
RNU6-212P	2
RNU6-213P	0
RNU6-214P	0
RNU6-215P	0
RNU6-216P	0
RNU6-217P	0
RNU6-218P	0
RNU6-219P	0
RNU6-21P	0
RNU6-220P	0
RNU6-221P	0
RNU6-222P	0
RNU6-223P	0
RNU6-224P	0
RNU6-225P	0
RNU6-226P	0
RNU6-227P	0
RNU6-228P	0
RNU6-229P	0
RNU6-22P	0
RNU6-230P	0
RNU6-231P	0
RNU6-232P	0
RNU6-233P	0
RNU6-234P	0
RNU6-235P	0
RNU6-236P	0
RNU6-237P	0
RNU6-238P	1
RNU6-239P	0
RNU6-23P	0
RNU6-240P	0
RNU6-241P	0
RNU6-242P	0
RNU6-243P	0
RNU6-244P	0
RNU6-245P	0
RNU6-246P	0
RNU6-247P	0
RNU6-248P	0
RNU6-249P	1
RNU6-24P	0
RNU6-250P	0
RNU6-251P	0
RNU6-252P	0
RNU6-253P	0
RNU6-254P	0
RNU6-255P	0
RNU6-256P	0
RNU6-257P	0
RNU6-258P	0
RNU6-259P	0
RNU6-25P	0
RNU6-260P	0
RNU6-261P	0
RNU6-262P	0
RNU6-263P	0
RNU6-264P	0
RNU6-266P	0
RNU6-267P	0
RNU6-268P	2
RNU6-269P	0
RNU6-26P	24
RNU6-270P	0
RNU6-271P	0
RNU6-272P	0
RNU6-273P	0
RNU6-274P	0
RNU6-275P	0
RNU6-276P	0
RNU6-277P	0
RNU6-278P	0
RNU6-279P	0
RNU6-27P	0
RNU6-280P	0
RNU6-281P	0
RNU6-282P	0
RNU6-283P	0
RNU6-284P	0
RNU6-285P	0
RNU6-286P	0
RNU6-287P	0
RNU6-288P	0
RNU6-289P	0
RNU6-28P	0
RNU6-290P	0
RNU6-291P	0
RNU6-293P	0
RNU6-294P	0
RNU6-295P	1
RNU6-296P	0
RNU6-297P	0
RNU6-298P	0
RNU6-299P	0
RNU6-29P	0
RNU6-300P	0
RNU6-301P	1
RNU6-302P	0
RNU6-303P	0
RNU6-304P	0
RNU6-306P	0
RNU6-307P	0
RNU6-308P	0
RNU6-309P	0
RNU6-30P	0
RNU6-310P	0
RNU6-311P	0
RNU6-312P	0
RNU6-313P	0
RNU6-314P	0
RNU6-315P	0
RNU6-316P	0
RNU6-317P	0
RNU6-318P	0
RNU6-319P	0
RNU6-31P	0
RNU6-320P	0
RNU6-321P	0
RNU6-322P	2
RNU6-323P	3
RNU6-324P	0
RNU6-325P	0
RNU6-326P	0
RNU6-327P	0
RNU6-328P	0
RNU6-329P	0
RNU6-32P	2
RNU6-330P	0
RNU6-331P	0
RNU6-332P	0
RNU6-333P	0
RNU6-334P	0
RNU6-335P	0
RNU6-336P	0
RNU6-337P	0
RNU6-338P	0
RNU6-339P	0
RNU6-33P	0
RNU6-340P	0
RNU6-341P	0
RNU6-342P	0
RNU6-343P	2
RNU6-344P	0
RNU6-345P	0
RNU6-346P	0
RNU6-347P	0
RNU6-348P	0
RNU6-349P	0
RNU6-34P	0
RNU6-351P	0
RNU6-352P	0
RNU6-353P	0
RNU6-354P	2
RNU6-355P	0
RNU6-356P	0
RNU6-358P	0
RNU6-359P	0
RNU6-35P	0
RNU6-360P	0
RNU6-361P	0
RNU6-362P	1
RNU6-363P	0
RNU6-364P	0
RNU6-365P	0
RNU6-366P	0
RNU6-367P	1
RNU6-368P	0
RNU6-369P	0
RNU6-36P	0
RNU6-370P	0
RNU6-371P	0
RNU6-373P	0
RNU6-374P	0
RNU6-375P	0
RNU6-376P	0
RNU6-377P	1
RNU6-378P	0
RNU6-379P	0
RNU6-37P	0
RNU6-380P	0
RNU6-381P	0
RNU6-382P	0
RNU6-383P	0
RNU6-384P	0
RNU6-386P	0
RNU6-387P	0
RNU6-388P	0
RNU6-389P	0
RNU6-38P	0
RNU6-390P	0
RNU6-391P	0
RNU6-392P	0
RNU6-393P	0
RNU6-394P	0
RNU6-395P	0
RNU6-396P	0
RNU6-397P	0
RNU6-398P	0
RNU6-399P	0
RNU6-39P	0
RNU6-3P	0
RNU6-400P	0
RNU6-401P	0
RNU6-402P	0
RNU6-403P	0
RNU6-405P	0
RNU6-406P	0
RNU6-407P	1
RNU6-408P	0
RNU6-409P	0
RNU6-40P	0
RNU6-410P	0
RNU6-411P	0
RNU6-412P	0
RNU6-413P	0
RNU6-414P	0
RNU6-415P	0
RNU6-416P	0
RNU6-417P	0
RNU6-418P	0
RNU6-419P	0
RNU6-41P	0
RNU6-420P	0
RNU6-421P	0
RNU6-422P	0
RNU6-424P	0
RNU6-425P	0
RNU6-426P	0
RNU6-428P	0
RNU6-429P	0
RNU6-42P	0
RNU6-430P	0
RNU6-431P	4
RNU6-432P	0
RNU6-433P	0
RNU6-434P	0
RNU6-435P	0
RNU6-436P	0
RNU6-437P	0
RNU6-438P	0
RNU6-439P	0
RNU6-43P	0
RNU6-440P	0
RNU6-441P	0
RNU6-442P	0
RNU6-444P	0
RNU6-445P	0
RNU6-446P	1
RNU6-447P	0
RNU6-448P	0
RNU6-449P	0
RNU6-44P	0
RNU6-450P	0
RNU6-451P	0
RNU6-452P	0
RNU6-453P	0
RNU6-454P	0
RNU6-455P	0
RNU6-456P	0
RNU6-457P	0
RNU6-458P	0
RNU6-45P	0
RNU6-460P	0
RNU6-461P	0
RNU6-462P	0
RNU6-463P	0
RNU6-464P	0
RNU6-465P	0
RNU6-466P	0
RNU6-467P	0
RNU6-468P	0
RNU6-469P	0
RNU6-46P	0
RNU6-470P	0
RNU6-471P	0
RNU6-472P	0
RNU6-473P	0
RNU6-474P	0
RNU6-475P	0
RNU6-476P	0
RNU6-477P	0
RNU6-478P	0
RNU6-479P	1
RNU6-47P	0
RNU6-480P	0
